//當代中文/Book 1/L01-I		
陳月美	Chén Yuèměi	a woman from Vietnam
學術界	xuéshùjiè	(N) academia, the academic fields or circles
從政	cóngzhèng	(Vi) to engage in politics
政策	zhèngcè	(N) policy
安定	āndìng	(Vs) stable
辭	cí	(Vp) to quit, resign
頭腦	tóunǎo	(N) brain, mind
改革	gǎigé	(N) reforms
看法	kànfǎ	(N) view, opinion
教育	jiàoyù	(N) education
方面	fāngmiàn	(N) in the areas of (an issue)
得到	dédào	(V) to obtain
連任	liánrèn	(V) to serve a successive term
屆	jiè	(M) term, tenure of elected office
支持度	zhīchídù	(N) approval rating
落選	luòxuǎn	(Vp) to lose an election
得票率	dépiàolǜ	(N) percentage of votes received
預期	yùqí	(N) expectation
暫時	zhànshí	(Adv) temporarily, for the time being (or Cn zànshí)
老家	lǎojiā	(N) hometown
形象	xíngxiàng	(N) image
商量	shāngliáng	(V) to confer, consult with
人脈	rénmài	(N) network of people, contacts
弱勢	ruòshì	(N) disadvantaged (lit. weak power)
退休	tuìxiū	(Vp) to retire
事業	shìyè	(N) business, career
捐	juān	(V) to donate
義務	yìwù	(Adv) to volunteer, on a voluntary basis, to do something gratis
經費	jīngfèi	(N) funds
競選	jìngxuǎn	(V) run for (an office)
也許	yěxǔ	(Adv) perhaps
政治界	zhèngzhìjiè	(N) the world of politics
權力	quánlì	(N) power
辭掉	cídiào	to quit, resign
提出	tíchū	to propose
國民年金	guómín niánjīn	national pension (scheme)
中間選民	zhōngjiān xuǎnmín	swing voters
一陣子	yí zhèn zi	a while, a short duration of time
下一步	xià yí bù	the next step (in doing things)
盡可能	jìn kěnéng	as far as possible, do one's best'
出版社	chūbǎn shè	publishing company
捐出	juānchū	to donate
二手書	èrshǒu shū	secondhand book
//當代中文/Book 4/L01-I		
小玲	Xiǎolíng	Xiaoling, female
阿建	Ājiàn	Ajian, male
聊天室	liáotiānshì	(N) chatroom ( 室 -shì, room)
上班族	shàngbānzú	(N) (office) workers ( 族 -zú, group)
與其	yǔqí	(Conj) rather than
冷清	lěngqīng	(Vs) deserted, empty
高就	gāojiù	(Vi) to work (honorific)
部門	bùmén	(N) department
厲害	lìhài	(Vs) impressive, good, awesome
加班	jiābān	(V-sep) to work overtime
類	lèi	(M) kind, type
恐怖片	kǒngbùpiàn	(N) horror movie ( 恐怖 kǒngbù, scary; 片 -piàn, film)
愛情片	àiqíngpiàn	(N) love story or romance movie ( 愛情 àiqíng, love)
嚇	xià	(Vp) to be scared
哭	kū	(V) to cry
上癮	shàngyǐn	(Vp) to get hooked on, addicted
刺激	cìjī	(Vs) stimulating
簡直	jiǎnzhí	(Adv) simply, really
膽子	dǎnzi	(N) guts, courage
部	bù	(M) measure word for movies
限制級	xiànzhìjí	(N) restricted (viewing for movies) ( 限制 xiànzhì, restricted; 級 -jí, level)
電影院	diànyǐngyuàn	(N) cinema, movie theater
呃	è	(Ptc) uh, interjection indicating embarrassment
建設公司	jiànshè gōngsī	construction company
業務經理	yèwù jīnglǐ	business manager
室內設計	shìnèi shèjì	interior design
//當代中文/Book 4/L01-II		
溫暖	wēnnuǎn	(Vs) warm
目前	mùqián	(Adv) currently
所	suǒ	(M) measure word for schools
就讀	jiùdú	(Vi) to be enrolled as a student
不至於	búzhìyú	(Adv) not so, not to that degree, not so much that
但	dàn	(Conj) but, however (formal)
放學	fàngxué	(Vp) after school, when school lets out
後	hòu	(N) afterwards (formal)
解決	jiějué	(V) to take care
寂寞	jímò	(Vs) lonely
網友	wǎngyǒu	(N) online friends
陪伴	péibàn	(V) to keep somebody company
電腦	diànnǎo	(N) computer
進入	jìnrù	(V) to enter
線上	xiànshàng	(N) online
感情	gǎnqíng	(N) emotions, feelings, love
小氣	xiǎoqì	(Vs) to be stingy
時	shí	(N) when (formal)
往往	wǎngwǎng	(Adv) oftentimes, generally
打氣	dǎqì	(Vi) to cheer on/up
安慰	ānwèi	(V) to comfort
心裡	xīnlǐ	(N) in (one's) mind'
大膽	dàdǎn	(Vs) to be bold, courageous
紓解	shūjiě	(V) to relieve
轉換	zhuǎnhuàn	(V) to change, transform
虛擬	xūnǐ	(Vs-attr) virtual
現實	xiànshí	(Vs) actual, real
心理	xīnlǐ	(N) psychological, mental
即使	jíshǐ	(Conj) even if, even though
責備	zébèi	(V) to reproach, get on somebody's case'
期待	qídài	(N) expectations
喘氣	chuǎnqì	(V-sep) to gasp, pant
自在	zìzài	(Vs) to be at ease, relaxed
交友	jiāoyǒu	(Vi) to make friends (with)
暴力	bàolì	(N) violence
點	diǎn	(V) to click (on)
懂得	dǒngde	(Vst) to know how to
陷阱	xiànjǐng	(N) trap, snare
明星高中	míngxīng gāozhōng	distinguished ,exclusive high school
早出晚歸	zǎochū wǎnguī	to leave home early and get home late
打開	dǎkāi	to turn on, to power on
喘不過氣	chuǎnbúguò qì	to be under great pressure, (lit.) unable to breathe
躲進	duǒjìn	to hide oneself in
掉進	diàojìn	to fall into
//當代中文/Book 4/L02-I		
李雲真	Lǐ Yúnzhēn	Li Yunzhen, female
眼睛	yǎnjīng	(N) eye
耳朵	ěrduo	(N) ear
饗宴	xiǎngyàn	(N) feast
打扮	dǎbàn	(V) to put on makeup
音樂廳	yīnyuètīng	(N) music hall, concert hall ( 廳 -tīng, hall)
表演	biǎoyǎn	(N/V) performance; to perform
整齊	zhěngqí	(Vs) neat
穿著	chuānzhuó	(N) attire
丟臉	diūliǎn	(Vs-sep) to lose face, to be embarrassed
短褲	duǎnkù	(N) shorts
涼鞋	liángxié	(N) sandals
擋	dǎng	(V) to block
演出者	yǎnchūzhě	(N) performer ( 演出 yǎnchū, to perform; 者 zhě, person)
尊重	zūnzhòng	(Vst) to respect
社交	shèjiāo	(N) socialization
免得	miǎnde	(Conj) lest, so as not to, to avoid
中場	zhōngchǎng	(N) intermission, halftime
準時	zhǔnshí	(Vs) to be punctual, on time
禮貌	lǐmào	(N) courtesy
或	huò	(Conj) or (formal)
熟	shóu	(Vs) to be familiar with, to be close to somebody
提	tí	(V) to bring up, mention
咳嗽	késòu	(Vi) to cough
關	guān	(V) to close, shut off
哇	wa	(Ptc) yikes, oh no
水準	shuǐzhǔn	(N) class, cultural standard
手冊	shǒucè	(N) programme, manual
洗手間	xǐshǒujiān	(N) restroom ( 間 -jiān, part of 房間 , room)
提醒	tíxǐng	(V) to remind
響	xiǎng	(Vp) to sound
糟	zāo	(Vs) awful
噓	xū	(Ptc) Shh, to hush
看不成	kànbùchéng	to miss out
聯絡感情	liánluò gǎnqíng	to get to know each other better, to strengthen ties with each other
擤鼻涕	xǐng bítì	to blow one's nose'
//當代中文/Book 4/L02-II		
場	chǎng	(M) measure word for performances
強調	qiángdiào	(V) to stress
團體	tuántǐ	(N) group
千萬	qiānwàn	(Adv) by all means
鋼琴	gāngqín	(N) piano
小提琴	xiǎotíqín	(N) violin
古典	gǔdiǎn	(Vs) classical
畫家	huàjiā	(N) painter
畫	huà	(V/N) to paint; painting
舞蹈	wǔdào	(N) dance
文學	wénxué	(N) literature
繪畫	huìhuà	(N) (act of) painting, drawing
等	děng	(Ptc) etc., and so forth
寺廟	sìmiào	(N) temple
表現	biǎoxiàn	(V/N) to manifest, express; manifestation, expression
之	zhī	(Ptc) of (from classical Chinese, roughly equivalent to the modern Chinese 的 )
劇情	jùqíng	(N) story, plot, storyline
導演	dǎoyǎn	(N) director (movies)
所	suǒ	(Ptc) a verbal marker (marking what comes after as a verb)
紅	hóng	(Vs) popular (of an actress or singer)
明星	míngxīng	(N) movie stars
演技	yǎnjì	(N) acting skills
得	dé	(Vpt) to get, obtain, receive
獎	jiǎng	(N) award
廣場	guǎngchǎng	(N) plaza
或	huò	(Conj) or
仔細	zǐxì	(Adv) carefully, attentively
留意	liúyì	(Vst) to pay attention to, take note of
處處	chùchù	(Adv) everywhere
滿足	mǎnzú	(Vst) to satisfy
豐盛	fēngshèng	(Vs) sumptuous, abundant
國家戲劇院	Guójiā Xìjùyuàn	National Theater
雲門舞集	Yúnmén Wǔjí	Cloud Gate Dance Theatre
國家音樂廳	Guójiā Yīnyuètīng	National Concert Hall
金馬影展	Jīnmǎ Yǐngzhǎn	Golden Horse Film Festival
現代舞	xiàndài wǔ	modern dance
無人不知無人不曉	wúrén bùzhī wúrén bùxiǎo	known to all
百聞不如一見	bǎiwén bùrú yíjiàn	seeing it once is better than hearing about it a hundred times
老街	lǎojiē	old street
街頭藝術	jiētóu yìshù	street art
裝置藝術	zhuāngzhì yìshù	installation art
填飽	tiánbǎo	to fill one's belly'
口腹之慾	kǒufù zhīyù	the desire of one's palate'
//當代中文/Book 4/L03-I		
李文麗	Lǐ Wénlì	Li Wenli, female
外婆	wàipó	(N) grandma
女裝	nǚzhuāng	(N) women's apparel'
何必	hébì	(Adv) Why bother..., Why must?
指	zhǐ	(Vst) to mean, to indicate
划算	huásuàn	(Vs) cost effective, a good deal
身材	shēncái	(N) figure, build, body (shape)
模特兒	mótèr	(N) model
不見得	bújiàndé	(Adv) not necessarily
仿冒品	fǎngmàopǐn	(N) knock-off, counterfeit product (仿冒 fǎngmào, counterfeit; 品 -pǐn, product)
瑕疵	xiácī	(N) defect
圖片	túpiàn	(N) picture
落差	luòchā	(N) difference
提供	tígōng	(V) to offer
資訊	zīxùn	(N) information
疑問	yíwèn	(N) question, doubt
嘛	ma	(Ptc) sentence particle, ‘it is obvious that''
慣	guàn	(Ptc) to get used to, accustomed to etc…
瀏覽	liúlǎn	(V) to browse, surf (the internet)
後悔	hòuhuǐ	(Vs) to regret, feel sorrowful about
深夜	shēnyè	(N) late at night, in the wee hours
任何	rènhé	(Det) any
駭客	hàikè	(N) hacker
盜用	dàoyòng	(V) to hack, use illegitimately
認證	rènzhèng	(V/N) to certify; certification
銀髮族	yínfǎzú	(N) senior citizens, seniors (銀 yín, silver; 髮 fǎ, hair)
從前	cóngqián	(N) in the past, before, formerly
通常	tōngcháng	(Adv) generally, as a rule
取貨	qǔhuò	(V-sep) to pick up goods
付款	fùkuǎn	(V-sep) to make payment
雲端科技	yúnduānkējì	cloud/internet technology
宅經濟	zháijīngjì	online economy
用不慣	yòngbúguàn	not used/accustomed to using, not comfortable with
退換	tuì huàn	to return, to exchange for something else
信用卡	xìnyòng kǎ	credit card
//當代中文/Book 4/L03-II		
縮短	suōduǎn	(Vpt) to shorten
人們	rénmen	(N) people in general
距離	jùlí	(N) distance
取代	qǔdài	(V) to replace
信	xìn	(N) letter, mail
影集	yǐngjí	(N) (TV) series
取得	qǔdé	(V) to obtain, access
例如	lìrú	(Vst) for example
民眾	mínzhòng	(N) the public, people in general
高速公路	gāosù gōnglù	(N) highway, freeway
前	qián	(N) before (formal)
查詢	cháxún	(V) to look up, check
路況	lùkuàng	(N) road situation, traffic situation
避開	bìkāi	(V) to avoid
路段	lùduàn	(N) section of road
若	ruò	(Conj) if, supposing
運用	yùnyòng	(V) to use, employ
病歷	bìnglì	(N) medical records
例子	lìzi	(N) example
更加	gèngjiā	(Adv) even more
原本	yuánběn	(Adv) originally
忙碌	mánglù	(Vs) busy
確實	quèshí	(Adv) indeed
控制	kòngzhì	(V) to control
表弟	biǎodì	(N) cousin (younger male cousin from one's mother's side as well as from one's father's sisters)'
退步	tuìbù	(Vp) to regress, get worse, fall behind
過度	guòdù	(Adv) overly, excessively
與	yǔ	(Conj) and (formal)
生理	shēnglǐ	(N) physical health
盯	dīng	(V) to stare
螢幕	yíngmù	(N) screen, monitor
疲倦	píjuàn	(Vs) tired, fatigued
視力	shìlì	(N) vision, eyesight
家長	jiāzhǎng	(N) parent
此外	cǐwài	(Conj) in addition
戶外	hùwài	(N) outdoor
人類	rénlèi	(N) mankind, humans
正面	zhèngmiàn	(Vs) positive
同時	tóngshí	(Adv) at the same time
負面	fùmiàn	(Vs) negative
沉迷	chénmí	(Vs) to be obsessed with, wallow in
無形中	wúxíng zhōng	imperceptibly
遠距教學	yuǎnjù jiāoxué	distance learning
大吵大鬧	dàchǎo dànào	to kick up a row, make a scene, scream bloody murder
焦慮不安	jiāolǜ bù'ān'	to be anxious
總而言之	zǒng'ér yánzhī'	in conclusion, to sum up, in short
//當代中文/Book 4/L04-I		
該	gāi	(Vaux) should, ought to
擺	bǎi	(V) to place, display
總算	zǒngsuàn	(Adv) finally
欸	èi	(Ptc) hey, calling attention
呀	yā	(Ptc) particle indicating uncertainty
衣櫥	yīchú	(N) closet
梳妝台	shūzhuāngtái	(N) dressing table
位置	wèizhì	(N) position, location
空間	kōngjiān	(N) space
科學	kēxué	(N) science
風水師	fēngshuǐshī	(N) Feng Shui master, geomancer ( 風水 fēngshuǐ, Feng Shui; 師 -shī, master)
在意	zàiyì	(Vs) to care about
所謂	suǒwèi	(V) so-called, what is known as
角度	jiǎodù	(N) angle, perspective
改造	gǎizào	(V) to transform, restructure
學問	xuéwèn	(N) a branch of learning
居住	jūzhù	(Vi) to live, reside
日常	rìcháng	(Vs-attr) daily
布置	bùzhì	(N/V) décor, layout, arrangement; to decorate, to arrange furniture
凶猛	xiōngměng	(Vs) fierce, ferocious
動物	dòngwù	(N) animal
刀	dāo	(N) knife
劍	jiàn	(N) sword
脾氣	píqì	(N) temper
暴躁	bàozào	(Vs) cranky, irritable
衝動	chōngdòng	(Vs) impulsive, rash
鏡子	jìngzi	(N) mirror
床腳	chuángjiǎo	(N) foot of the bed
光	guāng	(Adv) alone, merely
擺飾	bǎishì	(N) décor, ornaments
老婆	lǎopó	(N) wife
把	bǎ	(M) measure word for objects that can be grasped or objects with a handle, e.g., umbrella, knife
欺負	qīfù	(V) to pick on, bully, take advantage of
風水學	Fēngshuǐxué	the study of Feng Shui, geomancy ( 學 -xué, -ology) study,
正對門	zhèng duì mén	directly facing the door
譬如說	pìrú shuō	for example
一口氣	yì kǒu qì	in one breath
死定了	sǐdìngle	(You're) a dead man, You're toast'
//當代中文/Book 4/L04-II		
地理	dìlǐ	(N) geography
便利性	biànlìxìng	(N) convenience ( 性 -xìng, property, suffix indicating that a term is a noun)
周邊	zhōubiān	(N) surrounding, periphery
住宅	zhùzhái	(N) residence
詞	cí	(N) term,word
西元	Xīyuán	(N) A.D.
推翻	tuīfān	(V) to repudiate, overturn
心中	xīnzhōng	(N) in somebody's heart'
名言	míngyán	(N) well-known saying
建造	jiànzào	(V) to build
塑造	sùzào	(V) to shape
命運	mìngyùn	(N) fate, destiny
本身	běnshēn	(N) itself, oneself
地標	dìbiāo	(N) landmark
參考	cānkǎo	(V/N) to make reference to; reference
外觀	wàiguān	(N) exterior, appearance
疊	dié	(V) to stack
盆子	pénzi	(N) basin
斜	xié	(Vs) slanted, tilted
牆面	qiángmiàn	(N) wall face
聚寶盆	jùbǎopén	(N) treasure basin, similar to a cornucopia but filled with treasure ( 聚 -jù, to gather; 寶 -bǎo, treasure; 盆 -pén, basin)
角	jiǎo	(N) corner
龍	lóng	(N) dragon
古	gǔ	(Vs-attr) ancient (formal)
錢幣	qiánbì	(N) coins,currency
屋頂	wūdǐng	(N) roof
龜	guī	(N) turtle, tortoise
招財	zhāocái	(Vi) to attract treasure
側門	cèmén	(N) side door, side gate
遮雨棚	zhēyǔpéng	(N) canopy, awning
如意	rúyì	(N) ruyi, scepter, s-shaped ornamental object that brings good luck
設計	shèjì	(N/V) design; to design
偶然	ǒurán	(Vs) random, accidental, chancy
晉代	Jìn Dài	Jin Dynasty
郭璞	Guō Pú	Guo Pu
英國	Yīngguó	the UK
邱吉爾	Qiūjí'ěr'	Churchill
信義路	Xìnyì Lù	Xinyi Road
松智路	Sōngzhì Lù	Songzhi Road
一命二運三風水	yímìng èryùn sānfēngshuǐ	Fate is most important. Luck is second. Feng Shui is third.
加起來	jiāqǐlái	to add up, totalize
咬錢龜	yǎoqián guī	money-biting turtle
十全十美	shíquán shíměi	perfect, pinnacle of perfection
//當代中文/Book 4/L05-I		
夢	mèng	(N) dream
排隊	páiduì	(V-sep) to line up, stand in queue
校刊	xiàokān	(N) school newspaper, school publications of all sorts
採訪	cǎifǎng	(V) to interview
校友	xiàoyǒu	(N) alumnus
博士	bóshì	(N) doctorate, PhD
學位	xuéwèi	(N) academic degree
考	kǎo	(V) to take a test
司機	sījī	(N) driver, chauffeur
學士	xuéshì	(N) bachelor's, college degree'
地攤	dìtān	(N) street stall
現象	xiànxiàng	(N) phenomenon
稀奇	xīqí	(Vs) rare (and unique), singular
搶	qiǎng	(V) to rob, mug
批評	pīpíng	(V) to criticize
浪費	làngfèi	(Vst) to waste
畢竟	bìjìng	(Adv) after all
貢獻	gòngxiàn	(V) to make contributions
的確	díquè	(Adv) indeed
盲目	mángmù	(Adv) blindly
升學	shēngxué	(Vi) to pursue further education
逃避	táobì	(V) to evade, escape
就業	jiùyè	(N/Vi) employment; to get a job
延後	yánhòu	(V) to postpone
啃老族	kěnlǎozú	(N) a “sponge”, a “parasite”, somebody who feeds off the old (啃老 kěnlǎo, gnaw on the old) live off one's parents, lit. gnaw on the old)'
收攤	shōutān	(V-sep) to close up shop (said of street stalls)
清潔隊員	qīngjiéduìyuán	cleaning squad, street cleaners ( 清潔 qīngjié, to clean; 隊員 -duìyuán, team member)
擺地攤	bǎi dìtān	to have a street stall
大多數	dàduōshù	most, the majority of
話說回來	huàshuō huílái	on the other hand, however
自食其力	zìshí qílì	to rely on yourself, to stand on your own two feet
下一期	xiàyìqí	next issue (of a periodical)
//當代中文/Book 4/L05-II		
段	duàn	(M) a period of (time)
物價	wùjià	(N) prices, commodity prices
上漲	shàngzhǎng	(Vp) to rise (of prices)
所得	suǒdé	(N) income
漲	zhǎng	(Vp) to rise (as of prices and water level)
勉強	miǎnqiǎng	(Adv) barely, with great reluctance
根本	gēnběn	(Adv) at all, in the slightest
組織	zǔzhī	(N) organization
抗議	kàngyì	(V) to protest against
地價	dìjià	(N) land prices
房價	fángjià	(N) housing prices
高漲	gāozhǎng	(Vs) to (upward) surge
造成	zàochéng	(Vpt) to cause, produce, make
統計	tǒngjì	(N) statistics
窮忙	qióngmáng	(Vs) busy doing things without achieving anything
全球	quánqiú	(N) global, worldwide
景氣	jǐngqì	(Vs) prosperous, booming, economic conditions
施行	shīxíng	(V) to implement, put into effect
薪資	xīnzī	(N) pay, salary, wages
多年	duōnián	(N) for many years, for so long
未	wèi	(Adv) not yet (formal)
調高	tiáogāo	(V) to adjust upward
裁員	cáiyuán	(Vi) to lay off
觀察	guānchá	(V) to observe, note
彩券	cǎiquàn	(N) lottery
中獎	zhòngjiǎng	(Vp-sep) to win (a prize or lottery), to hit a jackpot
做夢	zuòmèng	(V-sep) to dream
發財	fācái	(Vp-sep) to strike it rich
臉色	liǎnsè	(N) countenance (mood shown on face)
報導	bàodǎo	(N) report, article, story (news)
指出	zhǐchū	(V) to indicate, point out
創業	chuàngyè	(Vi) to set up a business
餐飲業	cānyǐnyè	(N) food and beverage industry
人生	rénshēng	(N) life
及	jí	(Conj) and (formal)
挑戰	tiǎozhàn	(N) challenge
培養	péiyǎng	(V) to cultivate, train, foster
實力	shílì	(N) strength (not physical strength)
等待	děngdài	(V) to wait for, await
擁有	yǒngyǒu	(Vst) to have as one's own, possess'
中國大陸	Zhōngguó Dàlù	Mainland China
存不了	cúnbùliǎo	can't save (money)'
無殼蝸牛	wúké guāniú	"snails without shells" (people who can't afford to buy their own home)'
貧富不均	pínfù bùjūn	gap between the rich and the poor, unequal distribution of wealth
苦哈哈	kǔ hāhā	bitter life, very poorly
另謀發展	lìngmóu fāzhǎn	to seek opportunities elsewhere
恨不得	hènbùdé	to be dying to, desperately
一夜致富	yíyè zhìfù	to become rich overnight
一片天	yípiàntiān	place in the sun, a job that makes you happy and provides you with all the money and things that you want, paradise
//當代中文/Book 4/L06-I		
高來恩	Gāo Lái'ēn'	a man from Switzerland
地震	dìzhèn	(N) earthquake
搖	yáo	(Vp) to rock, shake
厲害	lìhài	(Vs) fierce, formidable
經常	jīngcháng	(Adv) frequently
倒	dǎo	(Vp) to collapse
橋	qiáo	(N) bridge
斷	duàn	(Vp) to break, snap
多	duó	(Adv) so
地區	dìqū	(N) region
強烈	qiángliè	(Vs) strong
頻率	pínlǜ	(N) frequency
預測	yùcè	(V) to predict, forecast
徵兆	zhēngzhào	(N) sign, omen
鳥類	niǎolèi	(N) birds
雞	jī	(N) chicken
預先	yùxiān	(Adv) in advance
老鼠	lǎoshǔ	(N) mouse, rat
貓	māo	(N) cat
馬	mǎ	(N) horse
證實	zhèngshí	(V) to verify
應變	yìngbiàn	(Vi) to meet an emergency
隨手	suíshǒu	(Adv) within easy reach
白	bái	(Adv) in vain
嫌	xián	(Vst) to grumble
事前	shìqián	(Adv) in advance
總是	zǒngshì	(Adv) always
西歐	Xī Ōu	Western Europe
北歐	Běi Ōu	Northern Europe
中歐	Zhōng Ōu	Central Europe
澳洲	Àozhōu	Australia
南美洲	Nán Měizhōu	South America
地球科學	dìqiú kēxué	earth science studies
菲律賓	Fēilǜbīn	the Philippines
天搖地動	tiānyáo dìdòng	swaying heavens and trembling earth, earth-shaking
壓死	yāsǐ	crushed to death
災情慘重	zāiqíng cǎnzhòng	in serious disaster
東半部	dōngbànbù	the eastern half
地震帶	dìzhèn dài	seismic zone, earthquake belt
救生包	jiùshēng bāo	survival kit, survival pack
有備無患	yǒubèi wúhuàn	be prepared, be on the safe side
//當代中文/Book 4/L06-II		
如何	rúhé	(Adv) how
逃生	táoshēng	(Vi) to evacuate
發達	fādá	(Vs) advanced, developed
天災	tiānzāi	(N) natural disaster
災害	zāihài	(N) disaster, damage (from a disaster)
程度	chéngdù	(N) degree, level
首先	shǒuxiān	(Adv) first of all
其次	qícì	(Adv) second, next, then
災難	zāinàn	(N) disaster
緊急	jǐnjí	(Vs) in emergency
必需品	bìxūpǐn	(N) necessities ( 必需 bìxū, essential, indispensable)
譬如	pìrú	(Vst) for example, like
手電筒	shǒudiàntǒng	(N) flashlight, torch
餅乾	bǐnggān	(N) crackers, cookies
平時	píngshí	(N) in ordinary times
狀況	zhuàngkuàng	(N) situation,circumstance
慌張	huāngzhāng	(Vs) to panic, be flustered
停電	tíngdiàn	(Vp-sep) to have a power outage
黑暗	hēi'àn'	(N) the darkness
方向	fāngxiàng	(N) direction
集合	jíhé	(Vi) to meet, assemble
裂縫	lièfèng	(N) crack
瓦斯	wǎsī	(N) natural gas
開關	kāiguān	(N) switch
火災	huǒzāi	(N) fire (disaster), conflagration
門框	ménkuāng	(N) door frame
歪	wāi	(Vp) askew, slanted, crooked
頭部	tóubù	(N) head
冷靜	lěngjìng	(Vs) cool-headed, calm
穩	wěn	(Vs) steady
櫃子	guìzi	(N) closet, cabinet
牆壁	qiángbì	(N) wall
倒塌	dǎotā	(Vp) to collapse
電梯	diàntī	(N) elevator
反而	fǎn'ér'	(Conj) on the contrary, rather
堅固	jiāngù	(Vs) strong, firm, solid
柱子	zhùzi	(N) pillar, column
碰	pèng	(V) to hit, bump into
形成	xíngchéng	(V) to form
三角形	sānjiǎoxíng	(N) triangle
保持	bǎochí	(V) to remain, stay
平靜	píngjìng	(Vs) calm
指示	zhǐshì	(N) instructions, commands
救援	jiùyuán	(Vi) to rescue
行動	xíngdòng	(N) activity, action, operations
掉下來	diàoxiàlái	to fall down, to drop
倒下來	dǎoxiàlái	to fall over, to collapse
救災人員	jiùzāi rényuán	rescue personnel
//當代中文/Book 4/L07-I		
博文	Bówén	a senior in college
玉珍	Yùzhēn	a sophomore in college
學妹	xuémèi	(N) female lower classmate (see culture notes)
學弟	xuédì	(N) male lower classmate
彈	tán	(V) to play (piano, guitar)
吉他	jítā	(N) guitar
交	jiāo	(V) to submit, hand in
家教	jiājiào	(N) coach, tutor
學長	xuézhǎng	(N) male upper classmate
還	hái	(Adv) to one's surprise'
進度	jìndù	(N) progress
落後	luòhòu	(Vp) to fall behind, lag
完成	wánchéng	(Vpt) to complete
一連	yìlián	(Adv) in a row, in succession
約會	yuēhuì	(V-sep) to make a date/appointment
一生	yìshēng	(N) (for) one's life'
時光	shíguāng	(N) time
倒流	dàoliú	(Vp) to flow backward
加強	jiāqiáng	(V) to strengthen
至少	zhìshǎo	(Adv) at least
訓練	xùnliàn	(N/V) training; to train
外國	wàiguó	(N) other countries, abroad, foreign
爭取	zhēngqǔ	(V) to vie for, compete for
實習	shíxí	(Vi) to intern
二分之一	èrfēn zhīyī	1/2
一下...一下...	yíxià...yíxià...	measure phrase, describing fast-changing alternating scenes of two activities
到時候	dào shíhòu	at that time, when the time comes
談戀愛	tán liàn ài	to be in love, go steady (said of dating couples)
低空飛過	dīkōng fēiguò	barely managed to pass (a test, course)
有助於	yǒuzhùyú	to help in something, be beneficial to something
寒暑假	hánshǔ jià	winter and summer vacations
//當代中文/Book 4/L07-II		
暗戀	ànliàn	(V) to have a crush on someone
目光	mùguāng	(N) eyes, gaze
移動	yídòng	(Vi) to move
於是	yúshì	(Conj) so, whereupon
原來	yuánlái	(Adv) the truth is
煩惱	fánnǎo	(Vs) to be troubled, vexed
擔任	dānrèn	(V) to hold the post of
學生會	xuéshēnghuì	(N) student union ( 會 -huì, organization)
會長	huìzhǎng	(N) president of an association, club etc... ( 長 -zhǎng, head)
校隊	xiàoduì	(N) school team
隊員	duìyuán	(N) team member ( 員 -yuán, member, person)
高大	gāodà	(Vs) tall and big, bulky
帥氣	shuàiqì	(Vs) dashing, handsome
雙	shuāng	(M) a pair of
開朗	kāilǎng	(Vs) cheerful
微笑	wéixiào	(Vi) to smile
情人節	qíngrénjié	(N) Valentine's Day ( 節 -jié, holiday, day)'
親手	qīnshǒu	(Adv) personally, with one's own hands'
巧克力	qiǎokèlì	(N) chocolate
當天	dāngtiān	(N) that day
堆	duī	(M) a pile of
向	xiàng	(Prep) to
告白	gàobái	(Vi) to confess
萬人迷	wànrénmí	(N) heartthrob ( 迷 -mí, charmer)
交往	jiāowǎng	(Vi) to go steady, to date
系花	xìhuā	(N) department beauty, the most beautiful girl in a department
追	zhuī	(V) to chase, woo
情書	qíngshū	(N) love letter
態度	tàidù	(N) attitude
曖昧	àimèi	(Vs) ambiguous (about one's relationship)'
甜蜜	tiánmì	(Vs) sweet
溫柔	wēnróu	(Vs) tender
訊息	xùnxí	(N) message
忌妒	jìdù	(Vst) to be jealous
安全感	ānquángǎn	(N) the feeling of security ( 感 -gǎn, sense/feeling of)
吃醋	chīcù	(Vp-sep) to be jealous
吵架	chǎojià	(V-sep) to quarrel, fight, argue
牽	qiān	(V) to hold
吻	wěn	(V) to kiss
劈腿	pītuǐ	(Vp-sep) to two-time
糟糕	zāogāo	(Ptc) oh no, how terrible, what bad luck!
何清源	Hé Qīngyuán	a male college student
林榮華	Lín Rónghuá	a male college student
一見鍾情	yíjiàn zhōngqíng	love at first sight
一舉一動	yìjǔ yídòng	every move
前一天	qián yì tiān	the day before
已讀不回	yǐdú bùhuí	read without reply
//當代中文/Book 4/L08-I		
王麗華	Wáng Lìhuá	a woman from Taiwan
魯亞	Lǔ Yǎ	a man from Turkey
論文	lùnwén	(N) thesis, dissertation, scholarly article
反正	fǎnzhèng	(Adv) in any case
不只	bùzhǐ	(Adv) not only
哈	hā	(Ptc) ha
代替	dàitì	(V) to substitute, to be in place of
獨自	dúzì	(Adv) alone, by oneself
難免	nánmiǎn	(Adv) inevitably, hard to avoid
費用	fèiyòng	(N) costs, expense
觀念	guānniàn	(N) concept, notion
代	dài	(N) generation
婚姻	hūnyīn	(N) marriage
束縛	shùfú	(V) to be fettered by, bound by, shackled by
追求	zhuīqiú	(V) to pursue
倒是	dàoshì	(Adv) on the other hand
推行	tuīxíng	(V) to promote
生育	shēngyù	(V/N) to have babies; reproduction, childbirth
補助	bǔzhù	(V/N) to subsidize; subsidy, allowance
老人	lǎorén	(N) old people, seniors
夫婦	fūfù	(N) husband and wife, couple ( 夫 -fū, man; 婦 fù, woman)
